symbol,date,price
VegD,2012-06-22 22:54:32 UTC,24
VegA,2012-06-22 22:54:42 UTC,590
VegB,2012-06-22 22:54:42 UTC,97
VegC,2012-06-22 22:54:42 UTC,0
VegD,2012-06-22 22:54:42 UTC,24
VegA,2012-06-22 22:54:52 UTC,589
VegB,2012-06-22 22:54:52 UTC,97
VegC,2012-06-22 22:54:52 UTC,0
VegD,2012-06-22 22:54:52 UTC,24
VegA,2012-06-22 22:55:02 UTC,590
VegB,2012-06-22 22:55:02 UTC,98
VegC,2012-06-22 22:55:02 UTC,1
VegD,2012-06-22 22:55:02 UTC,24
VegA,2012-06-22 22:55:12 UTC,589
VegB,2012-06-22 22:55:12 UTC,98
VegC,2012-06-22 22:55:12 UTC,1
VegD,2012-06-22 22:55:12 UTC,24
VegA,2012-06-22 22:55:22 UTC,589
VegB,2012-06-22 22:55:22 UTC,97
VegC,2012-06-22 22:55:22 UTC,1
VegD,2012-06-22 22:55:22 UTC,24
VegA,2012-06-22 22:55:32 UTC,591
VegB,2012-06-22 22:55:32 UTC,97
VegC,2012-06-22 22:55:32 UTC,1
VegD,2012-06-22 22:55:32 UTC,24
VegA,2012-06-22 22:55:42 UTC,591
VegB,2012-06-22 22:55:42 UTC,97
VegC,2012-06-22 22:55:42 UTC,0
VegD,2012-06-22 22:55:42 UTC,24
VegA,2012-06-22 22:55:52 UTC,591
VegB,2012-06-22 22:55:52 UTC,97
VegC,2012-06-22 22:55:52 UTC,2
VegD,2012-06-22 22:55:52 UTC,24
VegA,2012-06-22 22:56:02 UTC,591
VegB,2012-06-22 22:56:02 UTC,97
VegC,2012-06-22 22:56:02 UTC,1
VegD,2012-06-22 22:56:02 UTC,24
VegA,2012-06-22 22:56:12 UTC,591
VegB,2012-06-22 22:56:12 UTC,97
VegC,2012-06-22 22:56:12 UTC,2
VegD,2012-06-22 22:56:12 UTC,24
VegA,2012-06-22 22:56:22 UTC,588
VegB,2012-06-22 22:56:22 UTC,96
VegC,2012-06-22 22:56:22 UTC,1
VegD,2012-06-22 22:56:22 UTC,24
VegA,2012-06-22 22:56:32 UTC,591
VegB,2012-06-22 22:56:32 UTC,97
VegC,2012-06-22 22:56:32 UTC,1
VegD,2012-06-22 22:56:32 UTC,24
VegA,2012-06-22 22:56:42 UTC,590
VegB,2012-06-22 22:56:42 UTC,98
VegC,2012-06-22 22:56:42 UTC,0
VegD,2012-06-22 22:56:42 UTC,25
VegA,2012-06-22 22:56:52 UTC,591
VegB,2012-06-22 22:56:52 UTC,99
VegC,2012-06-22 22:56:52 UTC,1
VegD,2012-06-22 22:56:52 UTC,24
VegA,2012-06-22 22:57:02 UTC,591
VegB,2012-06-22 22:57:02 UTC,97
VegC,2012-06-22 22:57:02 UTC,1
VegD,2012-06-22 22:57:02 UTC,24
VegA,2012-06-22 22:57:12 UTC,591
VegB,2012-06-22 22:57:12 UTC,99
VegC,2012-06-22 22:57:12 UTC,1
VegD,2012-06-22 22:57:12 UTC,24
VegA,2012-06-22 22:57:22 UTC,591
VegB,2012-06-22 22:57:22 UTC,97
VegC,2012-06-22 22:57:22 UTC,1
VegD,2012-06-22 22:57:22 UTC,24
VegA,2012-06-22 22:57:32 UTC,591
VegB,2012-06-22 22:57:32 UTC,98
VegC,2012-06-22 22:57:32 UTC,1
VegD,2012-06-22 22:57:32 UTC,24
VegA,2012-06-22 22:57:42 UTC,591
VegB,2012-06-22 22:57:42 UTC,97
VegC,2012-06-22 22:57:42 UTC,1
VegD,2012-06-22 22:57:42 UTC,24
VegA,2012-06-22 22:57:52 UTC,591
VegB,2012-06-22 22:57:52 UTC,96
VegC,2012-06-22 22:57:52 UTC,0
VegD,2012-06-22 22:57:52 UTC,24
VegA,2012-06-22 22:58:02 UTC,591
